pincode,state,locality_name,area_type,year,population,total_crimes,crime_rate_per_100k,murder_cases,rape_cases,kidnapping_cases,robbery_cases,theft_cases,burglary_cases,fraud_cases,domestic_violence_cases,crimes_against_women,crimes_against_tourists,insurgency_incidents,flood_events,flood_affected_population,landslide_events,landslide_affected_population,earthquake_events,max_earthquake_magnitude,lightning_strikes,forest_fires,cyclone_events,road_accidents,road_fatalities,road_injuries,railway_accidents,aviation_incidents,emergency_response_time_minutes,annual_rainfall_mm,rainfall_variability_coefficient,max_temperature_celsius,min_temperature_celsius,extreme_weather_days,monsoon_onset_deviation_days,hospitals_per_100k,police_stations_per_100k,fire_stations_per_100k,mobile_network_coverage_percent,internet_connectivity_percent,road_connectivity_index,power_supply_reliability_percent,crime_score,natural_hazard_score,transport_safety_score,infrastructure_score,composite_safety_score,risk_category
790004,Arunachal Pradesh,Itanagar Colony,Semi-Urban,2023,6751,2,29.63,0,0,1,0,1,0,0,0,1,0,0,4,1665,5,209,5,5.6,9,0,0,3,0,3,0,0,52.0,3253.6,0.355,33.0,13.6,18,-3,21.9,24.8,14.2,79.7,60.1,48.8,88.6,96.3,16,100.0,47.89,68.29,Safe
790004,Arunachal Pradesh,Itanagar Colony,Semi-Urban,2024,6816,6,88.03,1,0,0,0,4,1,0,0,0,0,4,3,1219,3,601,1,5.4,8,0,0,4,0,4,0,0,52.4,1558.6,0.262,32.6,9.7,23,16,53.5,14.9,1.4,74.6,35.3,95.7,60.9,89.0,58,100.0,54.69,79.02,Safe
790005,Arunachal Pradesh,Itanagar Market,Urban,2019,12065,15,124.33,0,1,3,2,6,1,2,2,7,1,1,4,2066,1,929,1,6.3,11,0,0,8,0,16,0,0,13.2,3475.4,0.202,32.1,14.9,22,4,43.9,36.5,11.3,84.8,99.0,101.2,133.0,84.46,64,100.0,73.77,81.14,Very Safe
790005,Arunachal Pradesh,Itanagar Market,Urban,2020,12186,11,90.27,0,1,2,2,3,1,2,1,4,1,2,3,2985,5,385,1,3.0,10,0,0,2,0,3,0,0,38.8,3327.5,0.115,35.4,17.0,20,7,44.8,44.7,20.9,61.9,96.5,69.4,93.6,88.72,46,100.0,64.06,76.26,Safe
790005,Arunachal Pradesh,Itanagar Market,Urban,2021,12307,15,121.88,1,2,0,1,6,4,1,1,9,0,4,4,2859,1,1072,4,5.8,11,0,0,5,0,10,0,0,19.2,1523.4,0.358,30.6,13.7,21,-12,56.3,5.4,14.2,72.3,75.2,85.4,80.1,84.76,46,100.0,52.38,73.71,Safe
790005,Arunachal Pradesh,Itanagar Market,Urban,2022,12427,3,24.14,0,0,2,0,0,0,1,0,1,0,0,2,2082,2,581,3,3.7,18,0,0,0,0,0,0,0,22.6,3307.5,0.193,32.5,13.1,19,11,38.5,29.9,5.2,62.5,65.5,65.9,82.2,96.98,58,95.0,53.91,80.49,Very Safe
790005,Arunachal Pradesh,Itanagar Market,Urban,2023,12548,6,47.82,0,1,3,0,2,0,0,2,3,0,3,3,3626,2,511,2,7.5,13,0,0,4,0,7,3,0,20.6,1384.4,0.376,28.6,13.8,16,7,40.4,42.0,20.3,84.3,76.3,106.8,104.3,94.02,58,100.0,71.74,82.48,Very Safe
790005,Arunachal Pradesh,Itanagar Market,Urban,2024,12669,14,110.51,0,1,3,2,6,1,1,0,1,0,2,3,2171,2,1247,3,3.8,13,0,0,7,0,14,0,0,28.0,3209.8,0.167,37.2,10.8,21,-4,31.0,7.0,8.5,92.5,119.8,73.8,91.7,86.19,52,100.0,48.71,75.64,Safe
790008,Arunachal Pradesh,Tezu Bazaar,Border Area,2019,4805,3,62.43,0,1,0,0,2,0,0,0,1,0,3,5,637,2,157,4,4.4,11,0,0,1,0,2,0,0,81.6,2915.9,0.296,28.9,14.2,17,-17,24.1,4.7,4.1,79.5,48.5,29.4,51.0,92.2,34,100.0,31.7,70.64,Safe
790008,Arunachal Pradesh,Tezu Bazaar,Border Area,2020,4854,7,144.21,0,1,2,0,2,0,2,0,2,0,3,2,567,4,382,1,5.0,8,0,0,0,0,0,0,0,43.1,1443.4,0.311,30.3,8.8,27,2,13.8,15.6,5.5,89.2,26.5,36.0,36.6,81.97,58,95.0,33.73,73.21,Safe
790008,Arunachal Pradesh,Tezu Bazaar,Border Area,2021,4902,5,102.0,0,0,3,0,2,0,0,0,0,0,6,8,785,7,408,2,5.2,9,0,0,1,0,1,0,0,83.3,3895.1,0.155,35.1,16.0,24,10,7.2,13.0,7.3,65.1,39.5,51.8,58.6,87.25,0,100.0,32.7,58.81,Moderate Risk
790008,Arunachal Pradesh,Tezu Bazaar,Border Area,2022,4950,6,121.21,0,0,2,0,3,1,0,2,3,0,5,3,377,6,403,5,7.1,6,0,0,0,0,0,0,0,32.1,1989.1,0.221,33.2,17.4,21,12,27.9,16.6,9.2,81.8,60.8,44.2,40.4,84.85,16,95.0,38.84,62.13,Moderate Risk
790008,Arunachal Pradesh,Tezu Bazaar,Border Area,2023,4998,4,80.03,0,1,1,0,2,0,0,0,1,0,4,6,740,2,86,0,0.0,14,0,0,0,0,0,0,0,75.4,1759.6,0.134,36.4,14.0,25,-4,19.9,11.3,6.9,74.6,62.6,45.8,50.1,90.0,52,95.0,34.87,74.34,Safe
790008,Arunachal Pradesh,Tezu Bazaar,Border Area,2024,5046,5,99.09,0,0,0,1,1,2,1,0,1,0,4,5,757,1,181,2,3.3,11,0,0,2,0,2,0,0,64.7,1017.9,0.216,28.5,13.8,27,6,31.6,4.6,4.2,80.9,26.4,41.9,53.4,87.61,52,100.0,36.21,74.89,Safe
790009,Arunachal Pradesh,Itanagar Old,Tea Garden,2019,4950,2,40.4,0,0,0,1,0,0,1,0,0,0,1,3,379,2,347,1,3.2,12,0,0,1,0,2,0,0,50.3,1946.1,0.378,34.8,16.9,22,14,38.3,6.8,5.5,97.1,43.8,68.1,58.7,94.95,64,100.0,45.82,82.01,Very Safe
790009,Arunachal Pradesh,Itanagar Old,Tea Garden,2020,5000,0,0.0,0,0,0,0,0,0,0,1,1,0,0,7,631,5,294,2,5.8,15,0,0,0,0,0,0,0,66.4,1665.6,0.12,28.7,10.5,18,0,12.0,6.4,1.7,69.8,68.9,71.8,53.1,100.0,16,95.0,34.01,66.95,Safe
790009,Arunachal Pradesh,Itanagar Old,Tea Garden,2021,5049,1,19.81,0,0,0,0,1,0,0,0,0,0,2,4,1279,4,338,7,4.3,10,0,0,1,0,1,0,0,58.6,3664.5,0.2,30.7,13.4,21,13,10.8,3.7,5.2,88.2,49.9,53.1,42.0,97.52,10,100.0,30.86,65.22,Safe
790009,Arunachal Pradesh,Itanagar Old,Tea Garden,2022,5099,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1078,3,492,6,5.0,10,0,0,1,0,1,0,0,16.9,3994.1,0.368,31.6,18.3,17,0,30.3,4.0,6.1,91.2,52.6,40.6,56.7,100.0,22,100.0,37.28,70.33,Safe
790009,Arunachal Pradesh,Itanagar Old,Tea Garden,2023,5148,1,19.43,0,0,1,0,0,0,0,0,0,0,2,1,1174,0,0,3,4.0,12,0,0,1,0,2,0,0,68.8,2475.9,0.263,32.0,9.5,16,8,14.5,5.8,6.3,79.8,50.8,37.7,55.7,97.57,76,100.0,31.36,85.09,Very Safe
790009,Arunachal Pradesh,Itanagar Old,Tea Garden,2024,5198,1,19.24,0,0,0,0,1,0,0,1,2,0,2,4,341,1,108,4,4.9,9,0,0,0,0,0,0,0,48.2,2437.6,0.239,33.0,18.5,26,-11,15.5,16.2,3.6,90.1,63.5,69.6,58.3,97.6,46,95.0,42.5,75.96,Safe
790012,Arunachal Pradesh,Naharlagun Central,Urban,2019,6723,4,59.5,0,0,1,1,1,1,0,0,0,1,2,1,1219,2,175,0,0.0,13,0,0,2,0,4,0,0,32.5,3570.7,0.152,31.5,11.3,14,5,67.7,30.8,6.8,61.9,67.8,64.0,79.0,92.56,82,100.0,61.8,88.18,Very Safe
790012,Arunachal Pradesh,Naharlagun Central,Urban,2020,6790,1,14.73,0,0,0,0,1,0,0,0,0,0,4,3,1142,2,402,1,4.4,8,0,0,2,0,4,0,0,39.1,2376.0,0.279,35.8,15.0,24,4,16.4,39.4,7.9,66.3,125.3,121.0,105.0,98.16,64,100.0,63.31,84.89,Very Safe
790012,Arunachal Pradesh,Naharlagun Central,Urban,2021,6857,8,116.67,0,2,1,0,3,1,1,2,5,0,1,4,1925,2,173,0,0.0,13,0,0,4,0,3,0,0,13.7,3712.8,0.156,33.8,17.4,23,0,19.6,8.5,12.7,69.4,68.4,72.4,79.6,85.42,64,100.0,40.84,78.18,Safe
790012,Arunachal Pradesh,Naharlagun Central,Urban,2022,6925,3,43.32,0,1,0,1,0,0,1,1,3,0,1,2,1997,1,155,3,5.2,14,0,0,4,0,5,0,0,29.4,2018.5,0.365,30.8,17.5,13,-3,34.6,35.9,6.5,82.9,56.0,138.4,99.4,94.58,64,100.0,71.1,84.41,Very Safe
790012,Arunachal Pradesh,Naharlagun Central,Urban,2023,6992,5,71.51,0,1,1,0,2,0,1,2,3,0,0,6,1670,0,0,5,4.6,12,0,0,4,0,9,1,0,39.5,3095.4,0.232,32.0,18.4,18,0,18.5,36.9,8.0,91.6,50.6,121.5,137.2,91.06,34,100.0,71.14,74.19,Safe
790012,Arunachal Pradesh,Naharlagun Central,Urban,2024,7059,6,85.0,0,0,2,0,0,1,3,0,1,1,2,1,435,1,145,2,4.7,12,0,0,2,0,2,0,0,32.4,3104.1,0.395,28.5,14.9,16,19,74.6,29.1,16.6,66.3,96.6,101.3,131.4,89.38,76,100.0,76.49,86.73,Very Safe
790013,Arunachal Pradesh,Itanagar North,Hill Station,2019,2831,1,35.32,0,0,0,0,1,0,0,1,1,1,2,4,229,3,192,8,5.1,16,1,0,1,0,0,0,0,18.8,3275.6,0.309,27.9,7.7,26,7,46.9,29.1,3.7,82.1,30.9,72.4,87.3,95.58,4,100.0,60.4,65.69,Safe
790013,Arunachal Pradesh,Itanagar North,Hill Station,2020,2859,1,34.98,0,0,0,0,1,0,0,0,1,0,0,4,568,3,178,3,7.3,7,1,0,1,0,1,0,0,50.2,2710.2,0.287,22.5,7.3,22,3,23.0,8.9,8.4,81.9,84.7,93.9,71.6,95.63,34,100.0,45.71,73.24,Safe
790013,Arunachal Pradesh,Itanagar North,Hill Station,2021,2887,2,69.28,0,0,0,0,2,0,0,0,0,0,0,4,746,8,153,3,5.6,15,2,0,0,0,0,0,0,28.6,2037.2,0.174,24.7,2.5,26,-9,24.3,21.0,1.4,81.2,59.9,74.5,75.2,91.34,0,95.0,48.9,60.61,Moderate Risk
790013,Arunachal Pradesh,Itanagar North,Hill Station,2022,2916,1,34.29,0,1,0,0,0,0,0,0,3,1,1,2,198,3,154,3,6.5,14,1,0,0,0,0,0,0,51.6,3574.9,0.328,27.3,8.1,20,5,17.3,14.3,2.3,72.1,79.2,75.5,54.1,95.71,46,95.0,39.89,75.04,Safe
790013,Arunachal Pradesh,Itanagar North,Hill Station,2023,2944,0,0.0,0,0,0,0,0,0,0,1,1,0,0,5,330,2,109,5,7.4,12,3,0,1,0,2,0,0,45.8,1182.3,0.321,24.1,11.4,27,1,45.9,25.9,7.2,77.8,40.3,52.2,54.8,100.0,10,100.0,50.62,68.06,Safe
790013,Arunachal Pradesh,Itanagar North,Hill Station,2024,2972,2,67.29,0,0,0,0,2,0,0,0,0,0,0,3,776,7,100,3,3.5,6,0,0,0,0,0,0,0,13.6,3820.3,0.271,26.3,10.3,23,-19,45.5,17.7,9.0,79.5,89.6,80.7,64.7,91.59,22,95.0,52.74,67.68,Safe
790014,Arunachal Pradesh,Bomdila Old,Industrial Area,2019,16861,12,71.17,0,2,3,0,4,2,1,1,4,0,0,1,3443,2,450,4,6.9,8,0,0,10,0,20,0,0,10.6,1134.3,0.287,31.9,18.5,18,3,45.1,8.7,14.4,69.1,109.0,98.2,67.1,91.1,58,100.0,50.12,79.3,Safe
790014,Arunachal Pradesh,Bomdila Old,Industrial Area,2020,17030,18,105.7,1,0,3,2,7,3,2,2,6,0,1,1,1563,0,0,2,3.6,11,0,0,4,0,4,0,0,29.1,3554.5,0.215,36.4,19.0,19,17,25.8,7.0,9.0,79.7,114.6,91.4,90.4,86.79,82,100.0,47.72,84.75,Very Safe
790014,Arunachal Pradesh,Bomdila Old,Industrial Area,2021,17198,6,34.89,0,2,1,1,1,1,0,0,3,0,0,4,861,0,0,1,6.4,14,0,0,3,0,3,0,0,11.6,3907.1,0.252,31.1,11.7,19,-6,22.7,38.5,14.0,72.4,47.3,64.2,122.0,95.64,70,100.0,59.93,85.47,Very Safe
790014,Arunachal Pradesh,Bomdila Old,Industrial Area,2022,17367,1,5.76,0,0,1,0,0,0,0,2,2,0,1,2,1422,3,1734,7,3.1,12,0,0,6,0,14,0,0,33.7,2534.4,0.39,31.5,8.8,17,15,21.6,19.3,6.5,96.1,57.8,97.5,121.4,99.28,28,100.0,59.42,74.09,Safe
790014,Arunachal Pradesh,Bomdila Old,Industrial Area,2023,17535,20,114.06,0,4,5,3,5,2,1,1,14,0,0,4,1518,1,818,0,0.0,14,0,0,4,0,7,0,0,25.4,1783.1,0.374,28.5,11.1,17,2,21.0,27.1,16.0,86.0,116.6,98.3,108.6,85.74,70,100.0,59.44,81.95,Very Safe
790014,Arunachal Pradesh,Bomdila Old,Industrial Area,2024,17704,11,62.13,0,2,2,1,3,2,1,2,7,0,3,2,1812,0,0,2,4.4,10,0,0,8,0,15,0,0,19.1,2863.6,0.33,30.0,8.2,20,-18,36.9,27.7,16.2,80.4,72.5,54.3,76.4,92.23,76,100.0,52.58,85.34,Very Safe
790016,Arunachal Pradesh,Itanagar South,Hill Station,2019,6362,2,31.44,0,0,1,0,0,1,0,0,0,1,0,7,1763,6,238,4,3.5,8,1,0,1,0,1,0,0,31.2,3522.6,0.12,26.7,8.5,31,3,36.8,25.8,6.9,73.5,52.1,77.3,82.0,96.07,0,100.0,54.82,64.11,Moderate Risk
790016,Arunachal Pradesh,Itanagar South,Hill Station,2020,6426,4,62.25,0,0,1,0,0,3,0,1,1,0,0,4,876,1,479,9,6.2,9,1,0,1,0,0,0,0,43.4,1645.8,0.162,26.6,11.9,23,11,43.4,10.9,4.8,77.2,80.7,59.5,93.8,92.22,10,100.0,49.99,65.28,Safe
790016,Arunachal Pradesh,Itanagar South,Hill Station,2021,6489,4,61.64,0,1,1,0,2,0,0,0,1,2,0,3,1819,4,640,6,5.7,10,0,0,2,0,3,0,0,25.9,3329.6,0.398,21.5,4.1,27,17,42.0,17.2,10.0,87.1,34.6,69.4,79.5,92.29,22,100.0,53.06,69.21,Safe
790016,Arunachal Pradesh,Itanagar South,Hill Station,2022,6553,2,30.52,0,0,1,0,1,0,0,0,1,0,1,10,1022,6,265,5,6.5,15,5,0,4,0,3,0,0,48.1,1425.6,0.222,27.0,6.8,16,-6,45.2,8.4,8.6,86.7,66.9,86.7,73.1,96.18,0,100.0,51.75,63.84,Moderate Risk
790016,Arunachal Pradesh,Itanagar South,Hill Station,2023,6616,1,15.11,0,1,0,0,0,0,0,0,1,0,1,6,1950,1,480,1,4.5,10,1,0,2,0,4,0,0,43.1,4562.2,0.266,24.5,2.8,30,0,37.6,6.0,5.2,62.2,83.1,59.5,58.6,98.11,46,100.0,39.07,77.05,Safe
790016,Arunachal Pradesh,Itanagar South,Hill Station,2024,6680,5,74.85,0,1,2,0,2,0,0,1,2,1,1,3,880,1,210,5,4.1,13,4,0,2,0,4,0,1,46.9,1303.7,0.193,23.2,11.8,28,-4,49.0,22.2,2.9,79.8,52.7,68.4,53.4,90.64,22,100.0,52.32,68.56,Safe
790018,Arunachal Pradesh,Bomdila East,Rural,2019,2996,0,0.0,0,0,0,0,0,0,0,0,0,0,5,5,236,2,168,4,5.1,15,2,0,0,0,0,0,0,59.2,976.9,0.289,30.1,12.1,15,2,10.8,5.0,8.9,61.8,51.5,55.6,42.8,100.0,22,95.0,28.1,68.16,Safe
790018,Arunachal Pradesh,Bomdila East,Rural,2020,3026,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3,762,3,228,1,3.5,13,1,0,1,0,1,0,0,31.6,1414.0,0.347,34.8,13.8,25,12,11.3,16.9,4.2,86.7,38.3,45.0,47.1,100.0,52,100.0,36.0,79.2,Safe
790018,Arunachal Pradesh,Bomdila East,Rural,2021,3056,1,32.72,0,0,0,0,1,0,0,0,0,0,1,7,888,8,136,3,5.0,12,2,0,1,0,2,0,0,89.7,3390.3,0.285,31.0,15.2,11,-2,22.7,6.4,8.7,75.2,42.4,50.3,32.8,95.91,0,100.0,31.82,61.75,Moderate Risk
790018,Arunachal Pradesh,Bomdila East,Rural,2022,3086,0,0.0,0,0,0,0,0,0,0,0,0,0,2,4,156,2,294,5,3.4,9,1,0,2,0,4,0,0,58.7,3906.3,0.153,28.7,13.0,22,15,26.9,17.4,3.6,74.9,29.1,42.5,31.7,100.0,28,100.0,36.42,72.04,Safe
790018,Arunachal Pradesh,Bomdila East,Rural,2023,3116,1,32.09,0,0,1,0,0,0,0,0,0,0,1,5,700,3,309,3,6.1,6,2,0,1,0,1,0,0,92.1,3883.7,0.214,28.7,19.9,22,-5,16.9,9.0,4.7,63.3,24.2,35.4,55.3,95.99,22,100.0,30.68,68.26,Safe
790018,Arunachal Pradesh,Bomdila East,Rural,2024,3146,2,63.57,1,0,0,1,0,0,0,1,1,0,2,1,352,2,174,5,6.8,10,2,0,0,0,0,0,0,44.7,2664.2,0.141,33.4,16.6,20,-13,6.7,3.0,8.4,71.4,31.6,38.8,51.9,92.05,40,95.0,26.36,70.6,Safe
790020,Arunachal Pradesh,Itanagar Central,Tea Garden,2019,3568,1,28.03,0,0,0,0,0,1,0,0,0,0,1,4,802,6,66,6,5.0,17,0,0,0,0,0,0,0,66.4,3375.4,0.342,35.8,14.6,22,-15,28.2,24.0,10.5,63.4,53.8,35.0,64.4,96.5,4,95.0,41.58,62.88,Moderate Risk
790020,Arunachal Pradesh,Itanagar Central,Tea Garden,2020,3604,1,27.75,0,0,0,0,1,0,0,1,2,0,0,4,923,0,0,2,4.9,15,0,0,0,0,0,0,0,30.1,2581.3,0.396,33.8,14.5,29,-12,20.6,8.7,7.2,79.3,49.4,70.8,40.3,96.53,64,95.0,36.8,80.42,Very Safe
790020,Arunachal Pradesh,Itanagar Central,Tea Garden,2021,3640,3,82.42,0,1,0,0,2,0,0,0,1,0,0,3,1038,0,0,1,5.6,15,0,0,0,0,0,0,0,54.4,2652.2,0.215,28.8,13.2,18,-5,34.8,21.7,5.0,69.5,54.1,44.5,50.3,89.7,76,95.0,42.73,82.22,Very Safe
790020,Arunachal Pradesh,Itanagar Central,Tea Garden,2022,3675,1,27.21,0,0,0,0,1,0,0,0,0,0,0,13,630,2,118,2,7.4,18,0,0,0,0,0,0,0,38.4,2842.4,0.16,28.2,8.4,22,14,27.8,9.7,7.6,81.7,35.4,61.5,62.3,96.6,0,95.0,41.46,61.71,Moderate Risk
790020,Arunachal Pradesh,Itanagar Central,Tea Garden,2023,3711,3,80.84,0,0,0,0,1,1,1,1,1,0,0,6,336,4,345,2,3.1,9,0,0,0,0,0,0,0,56.7,1522.9,0.187,36.9,11.5,20,8,39.1,4.9,10.0,90.4,53.8,57.1,59.5,89.89,28,95.0,42.85,67.9,Safe
790020,Arunachal Pradesh,Itanagar Central,Tea Garden,2024,3747,2,53.38,0,0,1,0,0,1,0,0,0,0,0,5,553,5,187,1,5.2,5,0,0,0,0,0,0,0,58.9,1280.8,0.265,30.7,10.4,16,1,34.4,18.1,8.7,68.1,51.4,51.1,41.1,93.33,34,95.0,40.49,70.66,Safe
790022,Arunachal Pradesh,Bomdila Market,Industrial Area,2019,8916,2,22.43,0,1,0,0,0,0,1,3,6,0,0,1,480,2,700,3,7.2,15,0,0,4,0,8,0,0,33.0,3626.9,0.265,36.7,19.5,30,12,44.9,31.0,13.7,64.3,58.6,117.0,107.1,97.2,64,100.0,67.33,84.95,Very Safe
790022,Arunachal Pradesh,Bomdila Market,Industrial Area,2020,9005,6,66.63,0,1,1,1,2,1,0,0,3,0,3,2,1048,1,568,2,6.0,13,0,0,6,0,7,0,0,28.9,2627.2,0.32,32.7,11.6,18,-17,60.4,13.0,16.4,83.4,109.1,87.9,83.4,91.67,70,100.0,59.21,84.01,Very Safe
790022,Arunachal Pradesh,Bomdila Market,Industrial Area,2021,9094,10,109.96,0,0,5,0,3,1,1,0,1,0,3,2,1797,3,146,5,3.7,9,0,0,2,0,4,0,0,26.1,1377.5,0.365,30.6,9.4,26,-4,27.4,4.4,16.7,76.1,58.1,86.7,104.7,86.25,40,100.0,47.95,71.98,Safe
790022,Arunachal Pradesh,Bomdila Market,Industrial Area,2022,9184,11,119.77,0,0,6,1,1,3,0,1,3,0,1,0,0,2,320,1,5.2,12,0,0,7,0,6,0,0,28.7,3294.2,0.113,32.8,19.2,25,-4,29.9,6.4,16.8,64.2,42.4,92.4,84.0,85.03,82,100.0,45.67,83.93,Very Safe
790022,Arunachal Pradesh,Bomdila Market,Industrial Area,2023,9273,5,53.92,0,0,0,2,2,0,1,1,4,0,0,4,2703,3,635,1,3.1,12,0,0,1,0,1,0,0,26.3,3476.7,0.358,28.3,17.3,13,18,25.0,33.4,2.9,89.8,87.3,106.3,80.6,93.26,52,100.0,60.97,79.34,Safe
790022,Arunachal Pradesh,Bomdila Market,Industrial Area,2024,9362,13,138.86,0,0,3,0,5,3,2,1,4,0,0,4,2596,2,808,4,5.3,13,0,0,4,0,3,0,0,41.0,2288.9,0.396,33.0,13.2,22,13,37.8,18.4,12.2,76.1,78.9,100.8,103.4,82.64,40,100.0,58.73,71.8,Safe
790025,Arunachal Pradesh,Bomdila Valley,Commercial Hub,2019,17752,6,33.8,0,1,1,1,1,1,1,1,3,0,0,1,1601,2,449,4,4.4,17,0,0,5,0,8,0,0,26.1,3421.7,0.329,28.2,11.8,17,-19,17.1,13.4,5.1,68.8,111.4,78.6,86.2,95.78,58,100.0,44.02,80.32,Very Safe
790025,Arunachal Pradesh,Bomdila Valley,Commercial Hub,2020,17929,21,117.13,1,4,2,0,7,6,1,1,8,0,1,1,3148,3,729,6,5.3,10,0,0,9,0,14,0,0,35.1,3373.6,0.15,31.7,16.3,18,9,63.7,30.7,2.6,75.6,55.2,98.2,101.1,85.36,40,100.0,70.65,73.94,Safe
790025,Arunachal Pradesh,Bomdila Valley,Commercial Hub,2021,18107,9,49.7,0,0,3,0,5,0,1,1,2,0,4,1,2466,1,1778,3,4.4,12,0,0,6,0,5,0,0,20.3,1359.0,0.12,28.4,8.7,23,7,68.2,31.7,11.3,78.2,115.2,135.9,125.1,93.79,70,100.0,81.52,86.98,Very Safe
790025,Arunachal Pradesh,Bomdila Valley,Commercial Hub,2022,18284,18,98.45,0,2,3,0,6,7,0,1,4,0,2,2,3984,3,953,1,5.4,18,0,0,8,0,15,0,0,12.6,3421.5,0.115,29.7,17.4,23,-11,66.7,22.9,23.8,86.6,48.5,104.9,80.7,87.69,64,100.0,67.75,81.67,Very Safe
790025,Arunachal Pradesh,Bomdila Valley,Commercial Hub,2023,18462,24,130.0,0,3,5,1,12,0,3,1,8,0,0,1,2319,2,1158,4,4.9,12,0,0,7,0,7,1,0,26.7,978.8,0.345,37.4,12.1,20,-18,74.7,47.9,13.4,79.2,127.1,111.0,117.4,83.75,58,100.0,85.81,80.29,Very Safe
